Country,Cap_Added_Reference,Cap_Added_Worst_Case,Cap_Added_Aggressive_Rec,Cap_Avoided,Additional_Worst
United States of America,849.5779106,1187.386785,537.182584,312.3953266,337.8088747
Argentina,282.8725257,479.8761014,0,282.8725257,197.0035757
Chile,748.265612,1182.460661,465.9303932,282.3352188,434.1950491
Canada,325.1198552,771.063767,146.2257733,178.8940819,445.9439118
Peru,313.7648942,627.676402,150.6242281,163.1406661,313.9115078
Papua New Guinea,72.22823888,185.6486199,0,72.22823888,113.420381
Philippines,112.4553857,168.6118606,48.03504762,64.42033805,56.15647491
Iran,44.80525521,52.00069388,11.83600018,32.96925503,7.195438665
Ecuador,88.62226299,238.3592025,56.61742226,32.00484073,149.7369395
Indonesia,119.0520562,151.5869574,87.25885349,31.79320273,32.53490118
Brazil,25.56422045,43.23952592,2.713905844,22.85031461,17.67530546
China,24.25806225,38.14130512,5.331928158,18.92613409,13.88324287
South Africa,25.13993249,38.30044078,7.781190278,17.35874221,13.1605083
Russia,75.78714645,106.3335209,58.47094669,17.31619976,30.54637449
Mexico,147.1739952,257.0078223,131.1961235,15.97787166,109.8338272
Afghanistan,12.39173949,13.97279193,0,12.39173949,1.581052437
Namibia,30.24677567,49.76357831,19.65059319,10.59618248,19.51680264
Uzbekistan,8.98346154,8.98346154,0,8.98346154,8.88E-15
Colombia,10.81684156,39.47673012,2.26007533,8.556766234,28.65988855
Dem. Rep. Congo,6.028208845,24.21099482,0,6.028208845,18.18278598
Zambia,4.763598652,59.19255409,0,4.763598652,54.42895543
Pakistan,64.14480714,108.3392879,60.64600127,3.498805867,44.19448071
Fiji,3.00203252,47.18267622,0,3.00203252,44.1806437
Tanzania,2.683402741,3.650790374,1.67257489,1.010827851,0.967387632
Spain,4.288139566,8.566079688,3.422290719,0.865848846,4.277940122
Kazakhstan,56.84785141,104.9398441,56.05745796,0.790393446,48.09199271
Mongolia,1.178950118,75.96830231,0.677966102,0.500984017,74.78935219
Australia,76.92659218,221.5434548,76.7310633,0.195528884,144.6168626
Poland,8.699975072,11.45001967,8.626966238,0.073008834,2.750044597
Sweden,2.32288614,26.50038331,2.283089963,0.039796177,24.17749717
Georgia,0.702940189,0.96083918,0.691782408,0.011157781,0.257898992
Venezuela,0,66.35906581,0,0,66.35906581
Turkey,0,29.91599187,0,0,29.91599187
Romania,0,27.51070503,0,0,27.51070503
Serbia,0,17.71122523,0,0,17.71122523
Zimbabwe,0,17.13522904,0,0,17.13522904
Kyrgyzstan,0,14.17569269,0,0,14.17569269
Burkina Faso,0,9.26776009,0,0,9.26776009
Sudan,0,9.161598025,0,0,9.161598025
Azerbaijan,0,8.076374806,0,0,8.076374806
Macedonia,0,7.320173306,0,0,7.320173306
Haiti,0,5.621625548,0,0,5.621625548
India,0,4.893056538,0,0,4.893056538
Laos,0,4.25727522,0,0,4.25727522
Thailand,0,3.871043324,0,0,3.871043324
Panama,0,3.103795647,0,0,3.103795647
Malaysia,0,2.373,0,0,2.373
Saudi Arabia,0,1.165941667,0,0,1.165941667
Botswana,0,1.019605835,0,0,1.019605835
Portugal,0,0.817187596,0,0,0.817187596
Finland,3.176825541,3.751949828,3.176825541,0,0.575124287
Angola,0,0.545802138,0,0,0.545802138
Norway,0,0.525,0,0,0.525
Eritrea,0,0.316405131,0,0,0.316405131
Ethiopia,0,0.170320214,0,0,0.170320214
Bolivia,0,0.168721874,0,0,0.168721874
Oman,0,0.108104025,0,0,0.108104025
Cuba,0,0.089271472,0,0,0.089271472
Albania,0,0,0,0,0
Algeria,0,0,0,0,0
Antarctica,0,0,0,0,0
Austria,0,0,0,0,0
Bahamas,0,0,0,0,0
Bangladesh,0,0,0,0,0
Belarus,0,0,0,0,0
Belgium,0,0,0,0,0
Belize,0,0,0,0,0
Benin,0,0,0,0,0
Bhutan,0,0,0,0,0
Bosnia and Herz.,0,0,0,0,0
Brunei,0,0,0,0,0
Bulgaria,0,0,0,0,0
Burundi,0,0,0,0,0
CÃ´te d'Ivoire,0,0,0,0,0
Cambodia,0,0,0,0,0
Cameroon,0,0,0,0,0
Central African Rep.,0,0,0,0,0
Chad,0,0,0,0,0
Congo,0,0,0,0,0
Costa Rica,0,0,0,0,0
Croatia,0,0,0,0,0
Cuba,0,0,0,0,0
Cyprus,0,0,0,0,0
Czechia,0,0,0,0,0
Denmark,0,0,0,0,0
Djibouti,0,0,0,0,0
Dominican Rep.,0,0,0,0,0
Dominican Republic,0,0,0,0,0
Egypt,0,0,0,0,0
El Salvador,0,0,0,0,0
Eq. Guinea,0,0,0,0,0
Estonia,0,0,0,0,0
eSwatini,0,0,0,0,0
Falkland Is.,0,0,0,0,0
Fr. S. Antarctic Lands,0,0,0,0,0
France,0,0,0,0,0
Gabon,0,0,0,0,0
Gambia,0,0,0,0,0
Germany,0,0,0,0,0
Ghana,0,0,0,0,0
Greece,0,0,0,0,0
Greenland,0,0,0,0,0
Guatemala,0,0,0,0,0
Guinea,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0
Guyana,0,0,0,0,0
Honduras,0,0,0,0,0
Hungary,0,0,0,0,0
Iceland,0,0,0,0,0
Iraq,0,0,0,0,0
Ireland,0,0,0,0,0
Israel,0,0,0,0,0
Italy,0,0,0,0,0
Jamaica,0,0,0,0,0
Japan,0,0,0,0,0
Jordan,0,0,0,0,0
Kenya,0,0,0,0,0
Kosovo,0,0,0,0,0
Kuwait,0,0,0,0,0
Latvia,0,0,0,0,0
Lebanon,0,0,0,0,0
Lesotho,0,0,0,0,0
Liberia,0,0,0,0,0
Libya,0,0,0,0,0
Lithuania,0,0,0,0,0
Luxembourg,0,0,0,0,0
Madagascar,0,0,0,0,0
Malawi,0,0,0,0,0
Mali,0,0,0,0,0
Mauritania,0,0,0,0,0
Moldova,0,0,0,0,0
Montenegro,0,0,0,0,0
Morocco,0,0,0,0,0
Mozambique,0,0,0,0,0
Myanmar,0,0,0,0,0
N. Cyprus,0,0,0,0,0
Nepal,0,0,0,0,0
Netherlands,0,0,0,0,0
New Caledonia,0,0,0,0,0
New Zealand,0,0,0,0,0
Nicaragua,0,0,0,0,0
Niger,0,0,0,0,0
Nigeria,0,0,0,0,0
North Korea,0,0,0,0,0
Oman,0,0,0,0,0
Palestine,0,0,0,0,0
Paraguay,0,0,0,0,0
Puerto Rico,0,0,0,0,0
Qatar,0,0,0,0,0
Rwanda,0,0,0,0,0
S. Sudan,0,0,0,0,0
Senegal,0,0,0,0,0
Sierra Leone,0,0,0,0,0
Slovakia,0,0,0,0,0
Slovenia,0,0,0,0,0
Solomon Is.,0,0,0,0,0
Somalia,0,0,0,0,0
Somaliland,0,0,0,0,0
South Korea,0,0,0,0,0
Sri Lanka,0,0,0,0,0
Suriname,0,0,0,0,0
Switzerland,0,0,0,0,0
Syria,0,0,0,0,0
Taiwan,0,0,0,0,0
Tajikistan,0,0,0,0,0
Timor-Leste,0,0,0,0,0
Togo,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0
Tunisia,0,0,0,0,0
Turkmenistan,0,0,0,0,0
Uganda,0,0,0,0,0
Ukraine,0,0,0,0,0
United Arab Emirates,0,0,0,0,0
United Kingdom,0,0,0,0,0
Uruguay,0,0,0,0,0
Vanuatu,0,0,0,0,0
Vietnam,0,0,0,0,0
W. Sahara,0,0,0,0,0
Yemen,0,0,0,0,0
Montserrat,0,0,0,0,0
Sint Maarten,0,0,0,0,0
St-Martin,0,0,0,0,0
N. Mariana Is.,0,0,0,0,0
Guam,0,0,0,0,0
American Samoa,0,0,0,0,0
Niue,0,0,0,0,0
Cabo Verde,0,0,0,0,0
Singapore,0,0,0,0,0
Samoa,0,0,0,0,0
Dominica,0,0,0,0,0
Hong Kong,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0
Armenia,7.956292988,19.38267772,13.04302869,-5.086735698,11.42638474
